Gene_Set_ID	Ensembl_Gene_ID	Entrez_Gene_ID	Gene_Symbol	Synonyms	Gene_Function	Gene_Description_NCBI	Database	Ontology	Path_ID	Path_Description	Gene_Ratio	Bg_Ratio	p_value	p_adjust	q_value	Count	Possible_Long-COVID_Symptoms
1	ENSG00000158825	978	CDA	CDD	Cytidine Deaminase	Encodes a deaminase enzyme crucial for pyrimidine salvage and nucleotide pool balance, with implications in leukemia treatment response	GO	BP	GO:0006216	Cytidine Breakdown	1/6	12/18614	0.0039	0.0388	0.0179	1	Fatigue and muscle weakness due to impaired energy metabolism  
1	ENSG00000158825	978	CDA	CDD	Cytidine Deaminase	Encodes a deaminase enzyme crucial for pyrimidine salvage and nucleotide pool balance, with implications in leukemia treatment response	GO	MF	GO:0004126	Cytidine Deaminase Activity	1/6	12/18369	0.0039	0.0093	0.0018	1	Dysfunctional cytidine deamination, affected RNA integrity and immune system function
1	ENSG00000158825	978	CDA	CDD	Cytidine Deaminase	Encodes a deaminase enzyme crucial for pyrimidine salvage and nucleotide pool balance, with implications in leukemia treatment response	GO	BP	GO:0009972	Cytidine Deamination	1/6	12/18614	0.0039	0.0388	0.0179	1	Cognitive impairments and mood fluctuations from altered neurotransmitter levels  
1	ENSG00000158825	978	CDA	CDD	Cytidine Deaminase	Encodes a deaminase enzyme crucial for pyrimidine salvage and nucleotide pool balance, with implications in leukemia treatment response	GO	BP	GO:0046087	Cytidine Metabolism	1/6	12/18614	0.0039	0.0388	0.0179	1	Digestive issues and malabsorption symptoms from disrupted glycosyl compound processing  
1	ENSG00000158825	978	CDA	CDD	Cytidine Deaminase	Encodes a deaminase enzyme crucial for pyrimidine salvage and nucleotide pool balance, with implications in leukemia treatment response	GO	BP	GO:1901658	Glycosyl Compound Breakdown	1/6	34/18614	0.0109	0.0388	0.0179	1	Increased susceptibility to infections due to compromised nucleotide salvage pathways  
1	ENSG00000158825	978	CDA	CDD	Cytidine Deaminase	Encodes a deaminase enzyme crucial for pyrimidine salvage and nucleotide pool balance, with implications in leukemia treatment response	GO	BP	GO:0043094	Metabolic Compound Salvage	1/6	30/18614	0.0096	0.0388	0.0179	1	DNA repair issues and increased risk of mutations from nucleobase metabolism dysregulation  
1	ENSG00000158825	978	CDA	CDD	Cytidine Deaminase	Encodes a deaminase enzyme crucial for pyrimidine salvage and nucleotide pool balance, with implications in leukemia treatment response	GO	BP	GO:0009112	Nucleobase Metabolism	1/6	34/18614	0.0109	0.0388	0.0179	1	Potential toxicity and cellular stress from inefficient nucleobase and nucleoside breakdown  
1	ENSG00000158825	978	CDA	CDD	Cytidine Deaminase	Encodes a deaminase enzyme crucial for pyrimidine salvage and nucleotide pool balance, with implications in leukemia treatment response	GO	BP	GO:0034656	Nucleobase Molecule Breakdown	1/6	30/18614	0.0096	0.0388	0.0179	1	Altered immune response and inflammation from nucleotide metabolism dysregulation  
1	ENSG00000158825	978	CDA	CDD	Cytidine Deaminase	Encodes a deaminase enzyme crucial for pyrimidine salvage and nucleotide pool balance, with implications in leukemia treatment response	GO	BP	GO:0009164	Nucleoside Breakdown	1/6	25/18614	0.0080	0.0388	0.0179	1	Chronic pain and joint discomfort related to metabolic disturbances  
1	ENSG00000158825	978	CDA	CDD	Cytidine Deaminase	Encodes a deaminase enzyme crucial for pyrimidine salvage and nucleotide pool balance, with implications in leukemia treatment response	GO	BP	GO:0045980	Nucleotide Metabolism Negative Regulation	1/6	25/18614	0.0080	0.0388	0.0179	1	Impaired cellular growth and repair mechanisms from nucleotide salvage dysregulation  
